Code Prefix,Code,Category,Sex,Age,2006,2011,2016
T04,T04-3,Indigenous Status,Females,20 - 24,0,0,0
T04,T04-3,Indigenous Status,Persons,20 - 24,0,4,0
T04,T04-4,Indigenous Status,Males,0 - 4,0,0,0
T04,T04-4,Indigenous Status,Females,0 - 4,0,0,0
T04,T04-4,Indigenous Status,Persons,0 - 4,0,0,0
T04,T04-4,Indigenous Status,Males,5 - 9,0,0,0
T04,T04-4,Indigenous Status,Females,5 - 9,0,0,0
T04,T04-4,Indigenous Status,Persons,5 - 9,0,0,0
T04,T04-4,Indigenous Status,Males,10 - 14,0,0,0
T04,T04-4,Indigenous Status,Females,10 - 14,0,0,0
T04,T04-4,Indigenous Status,Persons,10 - 14,0,0,0
T04,T04-4,Indigenous Status,Males,15 - 19,0,0,0
T04,T04-4,Indigenous Status,Females,15 - 19,0,0,0
T04,T04-4,Indigenous Status,Persons,15 - 19,0,0,0
T04,T04-4,Indigenous Status,Males,20 - 24,0,0,0
T04,T04-Z,Indigenous Status,Males,0 - 4,55,52,56
T04,T04-Z,Indigenous Status,Females,0 - 4,52,46,52
T04,T04-Z,Indigenous Status,Females,15 - 19,52,57,47
T04,T04-Z,Indigenous Status,Persons,0 - 4,106,97,110
T04,T04-TOT,Indigenous Status,Males,5 - 9,565,653,767
T04,T04-TOT,Indigenous Status,Females,5 - 9,528,673,754
T04,T04-TOT,Indigenous Status,Persons,5 - 9,1091,1327,1518
T04,T04-TOT,Indigenous Status,Persons,10 - 14,1091,1100,1176
T04,T04-1,Indigenous Status,Males,5 - 9,502,591,701
T04,T04-1,Indigenous Status,Females,5 - 9,459,614,700
T04,T04-1,Indigenous Status,Persons,5 - 9,961,1204,1399
T04,T04-2,Indigenous Status,Males,5 - 9,20,19,20
T04,T04-2,Indigenous Status,Persons,5 - 9,36,39,43
T04,T04-Z,Indigenous Status,Males,5 - 9,51,41,39
T04,T04-Z,Indigenous Status,Males,10 - 14,51,31,42
T04,T04-Z,Indigenous Status,Females,5 - 9,46,37,31
T04,T04-Z,Indigenous Status,Persons,5 - 9,95,80,74
T04,T04-TOT,Indigenous Status,Males,10 - 14,594,551,577
T04,T04-TOT,Indigenous Status,Females,10 - 14,495,550,598
T04,T04-1,Indigenous Status,Males,10 - 14,519,496,512
T04,T04-1,Indigenous Status,Females,10 - 14,421,493,542
T04,T04-1,Indigenous Status,Persons,10 - 14,943,986,1049
T04,T04-2,Indigenous Status,Females,10 - 14,29,24,13
T04,T04-2,Indigenous Status,Persons,10 - 14,49,48,38
T04,T04-Z,Indigenous Status,Females,10 - 14,44,34,47
T04,T04-Z,Indigenous Status,Persons,10 - 14,97,68,87
T04,T04-TOT,Indigenous Status,Males,15 - 19,762,881,808
T04,T04-TOT,Indigenous Status,Females,15 - 19,760,763,810
T04,T04-TOT,Indigenous Status,Persons,15 - 19,1528,1641,1614
T04,T04-1,Indigenous Status,Males,15 - 19,669,794,736
T04,T04-1,Indigenous Status,Females,15 - 19,696,685,738
T04,T04-1,Indigenous Status,Persons,15 - 19,1361,1484,1471
T04,T04-2,Indigenous Status,Males,15 - 19,30,23,18
T04,T04-2,Indigenous Status,Females,15 - 19,18,21,19
T04,T04-2,Indigenous Status,Persons,15 - 19,43,42,39
T04,T04-Z,Indigenous Status,Males,15 - 19,66,62,56
T04,T04-Z,Indigenous Status,Persons,15 - 19,117,116,100
T04,T04-TOT,Indigenous Status,Males,20 - 24,1506,1771,1703
T04,T04-TOT,Indigenous Status,Females,20 - 24,1592,1702,1565
T04,T04-TOT,Indigenous Status,Persons,20 - 24,3095,3474,3266
T04,T04-1,Indigenous Status,Males,20 - 24,1339,1560,1552
T04,T04-1,Indigenous Status,Females,20 - 24,1430,1561,1422
T04,T04-1,Indigenous Status,Persons,20 - 24,2774,3123,2975
T04,T04-2,Indigenous Status,Males,20 - 24,13,17,34
T04,T04-2,Indigenous Status,Males,25 - 29,13,17,29
T04,T04-2,Indigenous Status,Females,25 - 29,13,28,24
T04,T04-2,Indigenous Status,Females,20 - 24,24,20,24
T04,T04-2,Indigenous Status,Persons,20 - 24,38,37,59
T04,T04-4,Indigenous Status,Females,20 - 24,3,3,0
T04,T04-4,Indigenous Status,Persons,20 - 24,3,0,3
T04,T04-Z,Indigenous Status,Males,20 - 24,151,188,121
T04,T04-Z,Indigenous Status,Females,20 - 24,134,117,111
T04,T04-Z,Indigenous Status,Persons,20 - 24,281,307,232
T04,T04-TOT,Indigenous Status,Males,25 - 29,1400,2086,2081
T04,T04-TOT,Indigenous Status,Females,25 - 29,1412,1870,2079
T04,T04-TOT,Indigenous Status,Persons,25 - 29,2815,3959,4155
T04,T04-1,Indigenous Status,Males,25 - 29,1243,1862,1856
T04,T04-1,Indigenous Status,Females,25 - 29,1273,1720,1869
T04,T04-1,Indigenous Status,Persons,25 - 29,2515,3575,3725
T04,T04-2,Indigenous Status,Persons,25 - 29,35,43,47
T08,T08-1,English Speaking,Males,0 - 4,533,613,633
T08,T08-1,English Speaking,Females,0 - 4,513,604,664
T08,T08-1,English Speaking,Persons,0 - 4,1048,1224,1300
T08,T08-2,English Speaking,Males,0 - 4,33,41,62
T08,T08-2,English Speaking,Females,0 - 4,29,45,60
T08,T08-2,English Speaking,Persons,0 - 4,64,79,123
T08,T08-3,English Speaking,Males,0 - 4,22,50,59
T08,T08-3,English Speaking,Females,0 - 4,19,50,72
T08,T08-3,English Speaking,Persons,0 - 4,44,102,131
T08,T08-4,English Speaking,Males,0 - 4,30,68,61
T08,T08-4,English Speaking,Females,0 - 4,39,69,70
T08,T08-4,English Speaking,Persons,0 - 4,67,134,130
T08,T08-5,English Speaking,Males,0 - 4,36,80,84
T08,T08-5,English Speaking,Females,0 - 4,33,79,98
T08,T08-5,English Speaking,Persons,0 - 4,73,159,180
T08,T08-6,English Speaking,Males,0 - 4,49,61,75
T08,T08-6,English Speaking,Females,0 - 4,55,69,62
T08,T08-6,English Speaking,Females,15 - 19,55,56,45
T08,T08-6,English Speaking,Persons,0 - 4,107,124,140
T08,T08-Z,English Speaking,Males,0 - 4,14,7,12
T08,T08-Z,English Speaking,Females,0 - 4,19,5,22
T08,T08-Z,English Speaking,Persons,0 - 4,34,15,34
T08,T08-TOT,English Speaking,Males,0 - 4,722,921,992
T08,T08-TOT,English Speaking,Females,0 - 4,709,921,1047
T08,T08-TOT,English Speaking,Persons,0 - 4,1433,1840,2037
T08,T08-1,English Speaking,Males,5 - 9,421,472,527
T08,T08-1,English Speaking,Females,5 - 9,396,468,528
T08,T08-1,English Speaking,Persons,5 - 9,814,941,1051
T08,T08-2,English Speaking,Males,5 - 9,49,70,122
T08,T08-2,English Speaking,Females,5 - 9,65,100,127
T08,T08-2,English Speaking,Females,10 - 14,65,80,106
T08,T08-2,English Speaking,Persons,5 - 9,113,166,249
T08,T08-3,English Speaking,Males,5 - 9,38,56,57
